Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
395	50	40	59
396	66	75	56
397	71	82	92
398	100	90	109
399	91	82	72
400	69	78	60
401	78	98	88
402	93	83	102
403	90	69	80
404	73	53	63
405	89	79	98
406	67	87	77
407	90	7	80
408	49	70	60
409	84	75	65
410	100	90	81
411	34	44	54
412	85	75	94
413	95	85	104
414	90	80	100
415	62	42	52
416	20	29	11
417	35	55	45
418	89	79	7
419	40	31	21
420	31	40	21
421	88	5	78
422	8	28	18
423	90	81	71
424	59	50	40
425	104	83	94
426	35	45	55
427	5	16	73
428	58	38	49
429	46	36	55
430	47	57	67
431	63	42	53
432	46	66	56
433	50	71	61
434	57	77	67
435	83	74	64
436	103	82	93
437	34	54	44
438	58	37	48
439	64	84	74
440	85	64	75
441	61	70	80
442	65	55	74
443	92	102	112
444	48	28	38
445	64	74	84
446	96	117	107
447	90	70	80
448	102	111	92
449	6	27	17
450	37	16	27
451	48	39	30
452	73	93	83
453	91	81	101
454	56	46	66
455	108	99	89
456	45	56	66
457	73	63	82
458	95	105	115
459	67	76	57
460	89	99	109
461	65	44	55
462	90	110	100
463	98	89	79
464	30	20	11
465	74	65	55
466	43	52	33
467	94	103	84
468	104	113	95
469	107	98	89
470	55	45	64
471	94	114	104
472	89	80	70
473	42	32	23
474	95	104	85
475	86	76	95
476	86	106	96
477	52	42	62
478	91	82	72
479	83	94	103
480	65	45	56
481	79	100	90
482	21	42	32
483	56	46	65
484	75	85	94
485	85	105	96
486	64	55	45
487	40	30	49
488	81	71	90
489	79	100	90
490	52	72	62
491	40	30	49
492	107	87	97
493	80	89	71
494	92	113	103
495	43	63	53
496	112	103	93
497	27	7	17
498	37	28	18
499	70	79	60
500	59	80	70
501	40	31	21
502	64	85	75
503	97	106	87
504	57	36	47
505	114	105	95
506	31	22	40
507	108	88	99
508	36	26	46
509	75	96	86
510	84	93	74
511	19	9	28
512	53	44	34
513	88	5	78
514	61	51	70
515	99	78	89
516	91	111	101
517	4	25	15
518	25	15	35
519	74	64	83
520	74	64	83
521	96	76	86
522	45	94	36
523	40	60	50
524	76	85	66
525	94	84	104
526	83	73	93
527	95	105	114
528	60	51	41
529	73	82	64
530	88	108	98
531	36	26	46
532	81	71	90
533	48	57	38
534	90	100	110
535	34	24	43
536	91	81	9
537	75	84	66
538	94	84	104
539	55	76	66
540	21	11	31
541	74	65	55
542	91	81	101
543	29	20	38
544	25	35	45
545	72	62	82
546	108	87	98
547	71	61	51
548	82	91	73
549	97	87	106
550	46	36	55
551	65	55	74
552	89	79	7
553	105	113	95
554	88	97	78
555	102	92	83
556	54	64	74
557	104	83	94
558	71	51	61
559	66	76	86
560	62	42	53
561	71	61	81
562	34	44	54
563	97	87	78
564	92	113	103
565	44	34	53
566	89	98	79
567	50	40	31
568	75	96	86
569	90	100	110
570	17	7	80
571	58	68	78
572	93	102	83
573	31	21	40
574	104	84	94
575	86	76	96
576	94	103	84
577	97	76	87
578	75	65	85
579	30	10	20
580	69	48	59
581	71	91	81
582	92	83	73
583	91	9	82
584	64	74	83
585	31	20	40
586	106	97	87
587	45	55	64
588	112	102	93
589	21	30	12
590	74	95	85
591	57	46	66
592	82	72	63
593	101	91	82
594	69	59	78
595	65	75	85
596	83	92	73
597	96	86	105
598	88	97	78
599	90	99	80
600	4	72	83
601	16	6	79
602	99	78	89
603	61	82	72
604	15	36	26
605	62	71	52
606	106	96	115
607	100	80	90
608	47	56	38
609	74	94	84
610	98	89	79
611	34	24	15
612	66	55	75
613	67	88	78
614	90	110	100
615	97	87	106
616	82	91	73
617	114	105	95
618	106	96	87
619	45	66	56
620	63	54	44
621	91	9	82
622	46	56	66
623	47	68	58
624	32	22	41
625	79	69	88
626	97	87	107
627	27	7	17
628	28	19	9
629	17	80	7
630	66	47	56
631	90	80	99
632	74	94	84
633	50	40	60
634	32	52	43
635	95	74	85
636	71	62	52
637	63	42	53
638	82	72	91
639	63	53	73
640	88	78	6
641	52	62	72
642	45	55	65
643	65	85	75
644	73	63	83
645	40	19	30
646	58	69	78
647	54	63	44
648	100	91	81
649	27	36	17
650	74	84	94
651	50	41	31
652	33	24	14
653	39	49	59
654	110	90	100
655	55	65	74
656	83	63	73
657	44	53	34
658	51	41	60
659	88	109	99
660	56	46	65
661	48	38	29
662	71	92	82
663	65	85	75
664	46	55	36
665	84	93	74
666	24	35	45
667	48	69	59
668	61	111	125
669	17	7	26
670	59	48	68
671	64	44	54
672	17	37	27
673	70	50	60
674	17	26	36
675	70	80	90
676	48	57	39
677	49	59	69
678	105	114	95
679	85	64	75
680	16	27	37
681	89	79	70
682	92	101	82
683	71	80	61
684	72	62	82
685	52	31	42
686	61	70	51
687	58	67	48
688	88	68	78
689	91	71	82
690	69	80	89
691	85	94	75
692	35	25	16
693	38	58	49
694	15	35	25
695	52	62	72
696	71	62	80
