Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
395	19	10	28
396	18	9	28
397	23	36	8
398	8	37	22
399	6	34	22
400	23	8	34
401	31	11	21
402	10	29	19
403	20	37	6
404	9	28	18
405	20	29	10
406	37	23	8
407	34	22	8
408	21	34	8
409	11	20	29
410	9	18	28
411	23	34	10
412	10	19	138
413	10	19	29
414	11	20	30
415	20	11	33
416	10	19	29
417	19	10	30
418	18	9	27
419	9	27	17
420	28	9	18
421	31	12	21
422	8	17	27
423	34	23	8
424	10	29	19
425	20	29	11
426	11	32	20
427	11	30	20
428	19	28	10
429	9	27	17
430	32	22	13
431	24	38	9
432	36	22	9
433	10	31	19
434	6	19	30
435	9	17	27
436	12	21	31
437	21	30	11
438	23	34	6
439	10	19	29
440	7	20	35
441	19	10	28
442	28	9	18
443	10	19	29
444	21	32	8
445	18	29	6
446	20	29	11
447	12	31	21
448	10	29	19
449	10	28	19
450	20	29	11
451	40	22	6
452	20	29	11
453	21	30	12
454	32	20	7
455	28	19	10
456	7	36	22
457	38	21	7
458	8	33	23
459	21	12	35
460	19	9	29
461	43	9	29
462	12	21	31
463	38	7	23
464	31	20	6
465	20	31	6
466	31	8	40
467	10	19	38
468	12	21	31
469	34	6	23
470	20	9	31
471	11	20	29
472	11	20	32
473	29	19	10
474	11	20	32
475	23	5	35
476	32	22	13
477	12	21	32
478	28	19	9
479	43	8	27
480	7	35	19
481	10	24	40
482	30	7	20
483	5	35	19
484	25	16	89
485	16	25	115
486	30	21	11
487	6	21	34
488	36	9	21
489	36	24	8
490	18	8	27
491	31	20	7
492	39	29	6
493	12	21	32
494	9	18	27
495	19	10	28
496	25	9	37
497	36	22	10
498	29	7	38
499	25	7	41
500	7	35	25
501	11	30	20
502	6	30	40
503	19	9	28
504	6	25	35
505	23	34	9
506	31	18	9
507	6	30	20
508	10	29	19
509	9	28	18
510	41	7	25
511	22	36	6
512	34	9	24
513	9	39	29
514	23	39	9
515	30	11	20
516	12	31	21
517	7	18	32
518	31	6	21
519	24	8	40
520	26	9	42
521	7	35	25
522	9	46	31
523	42	9	26
524	19	10	28
525	29	19	10
526	26	9	38
527	81	64	8
528	31	20	6
529	5	22	38
530	30	11	20
531	22	37	8
532	18	9	27
533	19	9	28
534	6	19	31
535	41	9	27
536	25	36	7
537	25	8	43
538	38	6	23
539	23	7	34
540	33	7	22
541	20	5	31
542	8	37	22
543	21	30	11
544	6	34	20
545	12	30	20
546	26	9	38
547	31	6	21
548	10	29	19
549	21	11	30
550	8	33	23
551	32	12	21
552	29	20	10
553	20	28	10
554	21	12	42
555	28	9	18
556	18	9	27
557	31	12	21
558	21	35	7
559	29	10	20
560	18	5	29
561	12	21	33
562	26	8	38
563	20	36	9
564	28	9	18
565	18	8	28
566	5	22	41
567	21	12	30
568	5	22	39
569	21	11	30
570	10	19	29
571	19	28	9
572	20	10	30
573	31	5	21
574	6	32	21
575	9	34	22
576	24	8	36
577	8	39	23
578	22	12	31
579	10	29	19
580	6	20	67
581	22	40	7
582	20	30	9
583	10	19	29
584	29	20	11
585	12	21	31
586	20	30	7
587	9	28	18
588	31	11	21
589	30	11	20
590	6	33	21
591	30	20	11
592	28	19	10
593	33	7	23
594	6	19	30
595	37	21	6
596	8	33	23
597	18	8	30
598	5	19	36
599	31	22	12
600	21	6	32
